id,state,month,year,dayweek,crash_type,bus_involvement,rigid_truck_involvement,articulated_truck_involvement,speed_limit,road_user,gender,age,time
06879503,California,September,2022,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,90,unknown1,Female,47,19:18
40597731,California,February,2020,Friday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,70,Driver,Male,87,23:42
10573586,Hawaii,January,2018,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,60,unknown2,Female,61,21:09
12063398,North Carolina,February,2017,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,110,Pedestrian,Female,79,8:35
46947775,Virginia,August,2021,Monday,Single Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,90,Driver,Female,39,17:31
76328667,Pennsylvania,February,2018,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,50,unknown2,Male,62,14:56
21626506,Minnesota,July,2022,Saturday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,100,Passenger,Female,24,19:09
19842337,Nebraska,May,2018,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,80,unknown1,Male,40,14:28
80125997,Texas,February,2016,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,Pedestrian,Male,76,7:18
68265654,Maryland,December,2019,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,110,unknown1,Male,56,17:39
23224995,Kansas,November,2020,Tuesday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,Pedestrian,Male,67,8:52
60187038,Texas,November,2017,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,unknown2,Female,87,6:05
47504822,Arkansas,December,2016,Thursday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,90,Motorcycle rider,Male,45,23:12
37411656,California,October,2021,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,unknown2,Female,53,12:04
18266498,Florida,June,2022,Tuesday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,100,unknown1,Female,58,11:11
80351813,Oklahoma,October,2019,Saturday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,50,Driver,Female,18,11:20
29934118,Minnesota,April,2018,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,unknown1,Female,95,8:08
81766165,Florida,February,2018,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,unknown1,Female,82,10:23
55121479,Kansas,October,2022,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,Pedestrian,Male,65,16:35
00738041,Connecticut,April,2016,Sunday,Single Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,110,Pedestrian,Male,21,19:57
58613836,Florida,November,2021,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,90,Driver,Female,97,19:02
87392752,Missouri,December,2020,Monday,Single Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,80,unknown2,Female,67,11:08
52606710,New York,October,2020,Tuesday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,40,Motorcycle rider,Female,11,21:31
76386798,Colorado,September,2019,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,unknown1,Female,52,5:41
22306122,West Virginia,May,2017,Saturday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,100,Pedestrian,Female,12,3:51
19214711,Texas,January,2017,Friday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,100,unknown1,Female,33,21:32
99279482,Florida,July,2020,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,100,unknown1,Female,37,15:14
56199223,Oklahoma,May,2015,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,unknown2,Female,33,1:56
89770689,New York,October,2020,Sunday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,40,unknown1,Female,12,4:30
02260323,Oklahoma,February,2017,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,70,unknown2,Female,29,8:42
76536057,Michigan,July,2017,Saturday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,100,Driver,Male,28,18:47
40158122,District of Columbia,August,2015,Tuesday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,40,Motorcycle rider,Male,85,14:11
39201051,Ohio,April,2015,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,90,Pedestrian,Female,35,2:14
59011620,New York,May,2022,Friday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,120,Motorcycle rider,Female,34,7:53
11701522,Illinois,July,2018,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,110,unknown2,Male,64,20:00
57136709,Oklahoma,February,2020,Monday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,120,unknown2,Male,72,20:17
68632819,Texas,June,2018,Sunday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,110,Pedestrian,Male,36,13:48
43592763,Virginia,June,2017,Sunday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,90,unknown1,Male,55,16:59
10542363,North Carolina,October,2021,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,80,Motorcycle rider,Male,26,13:39
32654502,Oklahoma,April,2015,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,90,Motorcycle rider,Female,15,2:13
80997699,California,February,2020,Monday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,60,unknown1,Male,64,20:00
33553208,Indiana,January,2022,Sunday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,100,unknown2,Male,62,17:06
11956986,Idaho,March,2021,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,Pedestrian,Female,86,16:18
92385414,Michigan,November,2021,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,90,Motorcycle rider,Male,72,13:19
84579813,Arkansas,February,2016,Wednesday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,80,Driver,Female,23,4:48
62925233,Washington,January,2018,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,Passenger,Female,43,17:14
42424087,Florida,September,2015,Sunday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,100,unknown2,Male,53,17:28
32100676,Louisiana,November,2016,Saturday,Single Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,110,Driver,Female,68,8:02
03206697,Florida,August,2015,Monday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,70,Motorcycle rider,Male,96,11:53
21333864,Massachusetts,September,2019,Wednesday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,Passenger,Female,45,21:26
38412906,District of Columbia,February,2017,Friday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,120,Pedestrian,Female,68,11:48
30858799,California,July,2016,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,Driver,Male,68,0:42
65645424,California,January,2015,Monday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,90,Motorcycle rider,Female,17,17:20
28911462,West Virginia,May,2018,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,40,unknown1,Female,98,10:37
86552616,Missouri,September,2022,Sunday,Single Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,90,unknown2,Female,99,2:12
68954724,Texas,January,2017,Friday,Single Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,100,unknown2,Male,52,6:48
29931123,Virginia,February,2022,Tuesday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,120,unknown2,Male,11,7:22
00143733,Kentucky,July,2019,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,Pedestrian,Female,57,21:08
79695746,Pennsylvania,February,2016,Thursday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,90,Passenger,Female,16,19:39
14051121,California,November,2017,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,90,unknown2,Female,69,22:10
27664520,Florida,February,2018,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,50,Driver,Female,21,9:18
99680337,Maryland,April,2019,Sunday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,110,unknown1,Female,38,13:54
68976853,Pennsylvania,August,2015,Thursday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,50,unknown1,Female,97,11:05
53692121,California,September,2015,Wednesday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,100,Driver,Female,10,21:50
21396748,West Virginia,June,2022,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,50,unknown2,Male,21,21:56
44939701,Ohio,March,2017,Saturday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,60,unknown1,Female,84,4:40
65923206,Louisiana,November,2021,Wednesday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,unknown1,Male,38,13:25
67564914,Texas,June,2015,Sunday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,90,Passenger,Female,25,22:26
86992744,New Jersey,May,2017,Friday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,90,Motorcycle rider,Female,46,2:08
18572361,Illinois,May,2018,Sunday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,120,Motorcycle rider,Male,57,10:28
88683411,District of Columbia,May,2017,Tuesday,Single Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,110,Passenger,Male,10,3:34
10255963,Texas,February,2022,Sunday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,120,Passenger,Female,26,23:50
66778832,Iowa,January,2017,Sunday,Single Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,110,Passenger,Male,56,0:55
62856028,Minnesota,July,2018,Sunday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,100,Pedestrian,Female,72,12:15
70787980,Maryland,December,2021,Monday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,100,unknown1,Female,49,1:54
85755054,California,July,2020,Friday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,120,unknown1,Female,83,19:18
25750236,District of Columbia,October,2018,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,90,unknown2,Female,44,3:41
19372119,North Carolina,July,2020,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,Motorcycle rider,Female,93,11:34
55148365,California,July,2015,Sunday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,100,Motorcycle rider,Male,51,13:42
11315609,Florida,June,2016,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,110,unknown1,Female,80,6:22
19084444,North Carolina,September,2018,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,110,unknown1,Male,67,10:29
05473578,California,January,2016,Monday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,100,Passenger,Male,58,2:01
45559166,California,April,2022,Sunday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,40,Pedestrian,Female,25,23:28
77479778,Texas,January,2017,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,60,Motorcycle rider,Female,25,13:51
31995707,Kentucky,December,2017,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,90,unknown2,Female,72,4:25
64334682,Virginia,October,2018,Friday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,110,unknown2,Male,81,22:17
03892087,Washington,December,2016,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,unknown1,Male,98,0:28
58177757,Washington,July,2018,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,100,Pedestrian,Male,84,1:29
96887313,Louisiana,September,2021,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,100,unknown2,Female,99,15:56
20244998,Oklahoma,April,2017,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,80,unknown1,Female,71,12:50
35434925,Missouri,March,2021,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,110,Passenger,Female,95,4:12
83472486,Georgia,April,2021,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,90,unknown2,Female,47,0:16
53104525,California,January,2019,Tuesday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,70,unknown2,Female,31,16:10
33357661,Florida,September,2017,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,80,Motorcycle rider,Male,87,0:58
05398535,Florida,November,2015,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,80,Motorcycle rider,Female,49,3:14
65179153,California,December,2017,Friday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,60,unknown2,Male,99,4:58
03981565,Virginia,February,2021,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,110,Driver,Male,48,4:57
08213676,California,December,2022,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,60,unknown2,Male,36,8:31
32574416,Missouri,August,2015,Sunday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,80,Driver,Male,19,4:16
67399008,California,October,2021,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,110,unknown2,Male,57,0:50
92337759,North Carolina,January,2022,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,40,Passenger,Female,81,9:33
87890331,Washington,February,2017,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,120,unknown2,Female,29,20:25
83475830,New York,December,2015,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,110,Driver,Male,64,22:14
14512874,Colorado,March,2021,Saturday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,100,unknown2,Female,92,22:13
86389325,Georgia,December,2015,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,50,unknown1,Male,12,15:52
93330138,Kentucky,July,2020,Sunday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,80,unknown1,Female,12,10:56
09855133,Kansas,May,2019,Thursday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,70,Passenger,Female,79,3:23
38017425,Ohio,April,2018,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,100,unknown2,Female,53,10:01
23116650,South Dakota,December,2020,Saturday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,100,unknown2,Female,92,2:21
19481364,California,March,2017,Monday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,50,Pedestrian,Male,66,11:54
95470719,Missouri,September,2015,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,90,Passenger,Female,30,3:47
22986779,California,November,2019,Tuesday,Multiple Vehicle,no,error: no implicit conversion of Range into Integer,error: Illegal quoting in line 1.,70,Driver,Female,27,0:12
18690477,Arizona,January,2019,Monday,Single Vehicle,yes,no,error: Illegal quoting in line 1.,50,unknown1,Female,93,1:34
04166307,Minnesota,December,2016,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,60,Motorcycle rider,Male,58,15:31
37560456,Minnesota,February,2020,Friday,Multiple Vehicle,yes,no,error: Illegal quoting in line 1.,110,unknown2,Female,33,2:14
